ReviewID,Username,ReviewText,Likes
1,@JudoSloth,"Thanks to Go-Go Muffin for sponsoring today’s video - check out the game for free on Android and IOS here https://muffin.xdg.com/media?fuid=objudosloth #adWill you get the Electro Boots or some of the older Equipment available with the Event? It is great to see this as a new way for players that missed previous events to get equipment, but I would like to see more done as I discussed in the video.",121
2,@Gamingboy-lr2jz,"I think i should buy snow glove.because,My town hall level is 12. But Please Recommended me what should i buy??",0
3,@zackarymetz1758,Love new equipment but I can’t keep up with the ores,0
4,@Rust225,these bastards not letting f2p players get 2 obstacles this game is slowly becoming a p2w game like roblox,0
5,@syrus8077,Its 11 where is the event,0
6,@frederikrosing-schow6110,Do you think the event pass is worth buying over the gold pass because of the shortage in ores?,0
7,@shashidcosta2582,I m losing out on builder base..with gold Pass my builder base bank doesn't fill ,0
8,@Simon_Says_diee,Editing ,0
9,@nflynn__x,"Crazy that they make it where even with event pass ur 50 short from buying two of the previous equipment as it would be 9300 but you only get 9250, no way this is unintentional right?",0
10,@nathanielanor5437,"The cute cookie pekka saying ""cookie while destroying a building is so cute 🥺",0
11,@agilesh6898,so you already have a new equipment for minion prince ??,0
12,@Legendgaming-rj3nl,Judo pls next time tell us the  time when it will release we can not wait for coc,0
13,@knaki2521,so it's the same thing as last year? ok,0
14,@ExtraWhite2233,Grand warden fireball!!!!,0
15,@Nettles1,Electro boots looks terrible,0
16,@AlhamdanIntimani,"ohhhh, Judo, you're on a different planet! here in the Philippines, the event is not yet active; it begins in a couple of hours",0
17,@RavindraSingh-bj1lt,no way i just spent 1.5k on gauntlet rn,0
18,@AnkonTwopointzero,today is 11 december why this event not coming,0
19,@Rampage2490,Yeah so players who dont buy the event pass cant get both the decorations.. Thank you supercell from taking decorations away too ,0
20,@sanalsrivastava6219,It is nice that supercell has added these equipment in the trader shop ..and judo what is better the electro boots or the spiky ball ... With those medals ???like Which is a better one ??,0
21,@Eric-hz7mn,I'm not th13 yet so which should I get? Frozen arrow or giant gauntlet?,0
